prodi_id,nama_prodi,jenjang
1,Pendidikan Agama Islam,S1
2,Pendidikan Bahasa Arab,S1
3,Ekonomi Syari'ah,S1
4,Perbankan Syari'ah,S1
5,Ilmu Al-Qur'an Dan Tafsir,S1
6,Manajemen Pendidikan Islam,S1
7,Ekonomi Syariah,S1
8,Pendidikan Islam Anak Usia Dini,S1
9,Ahwal Al Syakhshiyah,S1
10,Pendidikan Guru Madrasah Ibtidaiyah,S1
11,Perbankan Syariah,S1
12,Komunikasi Dan Penyiaran Islam,S1
13,Bimbingan Dan Konseling Pendidikan Islam,S1
14,Hukum Pidana Islam (Jinayah),S1
15,Hukum Keluarga (Ahwal Syakhshiyah),S1
16,Ilmu Al-Qur`an Dan Tafsir,S1
17,Ekonomi Syari`ah,S1
18,Hukum Ekonomi Syari`ah (Mu`amalah),S1
19,Hukum Keluarga (Ahwal Al Syakhshiyah),S1
20,Manajemen Dakwah,S1
21,Ilmu Al-Quran Dan Tafsir,S1
22,Tadris Bahasa Inggris,S1
23,Hukum Keluarga Islam (Ahwal Syakhshiyyah),S1
24,Tadris Bahasa Indonesia,S1
25,Hukum Tatanegara (Siyasah Syar'iyyah),S1
26,Tadris Matematika,S1
27,Ilmu Perpustakaan Dan Informasi Islam,S1
28,Bimbingan Penyuluhan Islam,S1
29,Bimbingan Dan Konseling Islam,S1
30,Pendididkan Islam Anak Usia Dini,S1
31,Manajemen Bisnis Syariah,S1
32,Manajemen Zakat Dan Wakaf,S1
33,Aqidah Dan Filsafat Islam,S1
34,Ilmu Hadist,S1
35,Pemikiran Politik Islam,S1
36,Tasawuf Dan Psikoterapi,S1
37,Hukum Keluarga Islam,S1
38,Tadris Biologi,S1
39,Tadris IPA,S1
40,Akuntansi Syari'ah,S1
41,Bimbingan Konseling Pendidikan Islam,S1
42,Pengembangan Masyarakat Islam,S1
43,Tadris IPS,S1
44,Hukum Ekonomi Syariah (Muamalah),S1
45,Perbankan Syariah,D3
46,Bahasa Dan Sastra Arab,S1
47,Manajemen Haji Dan Umroh,S1
48,Pendidikan Bimbingan Dan Konseling  Islam,S1
49,Perbankan Syari`ah,S1
50,Hukum Keluarga Islam (Ahwal Syakhsiyyah),S1
51,Bio Kewirausahaan,S1
52,Teknologi Pangan,S1
53,Bio Teknologi,S1
54,Bio Medis Dan Rekayasa Hayati,S1
55,Bio Informatika,S1
56,Pangan Dan Nutrisi,S1
57,Akuntansi,S1
58,Komunikasi,S1
59,Manajemen,S1
60,Administrasi Bisnis,S1
61,Teknik Informatika,S1
62,Sistem Informasi,S1
63,Ilmu Administrasi Niaga,S1
64,Ilmu Komunikasi,S1
65,Akuntansi,D3
66,Bimbingan Dan Penyuluhan Islam,S1
67,KEDOKTERAN GIGI,S1
68,TEKNIK GIGI,D3
69,KEBIDANAN,D3
70,FARMASI,S1
71,Biologi,S1
72,Kimia,S1
73,Desain Komunikasi Visual,S1
74,Manajemen Informatika,D3
75,Teologi/Kependetaan,S1
76,Pendidikan Agama Kristen,S1
77,Misiologi,S1
78,Teknologi Hasil Perikanan,S1
79,Pendidikan Ekonomi,S1
80,Ahwal Al-Syakhshiyah,S1
81,Muamalah,S1
82,Pendidikan Bahasa Inggris,S1
83,Psikologi,S1
84,KESEHATAN MASYARAKAT,S1
85,Desain Grafis,S1
86,Teknologi Hasil Pertanian,S1
87,Agribisnis,S1
88,Agroteknologi,S1
89,Kehutanan,S1
90,Teknik Pertanian,S1
91,Teknik Mesin,S1
92,Teknik Kimia,S1
93,Teknik Industri,S1
94,Teknik Geologi,S1
95,Statistika,S1
96,Teknik Mesin,D3
97,Teknik Lingkungan,S1
98,Teknik Elektro,S1
99,Rekayasa Sistem Komputer,S1
100,Teknologi Industri,D3
101,Teknik Elektronika,D3
102,Teknik Sipil,S1
103,Teknik Sipil,D3
104,Fisika,S1
105,Arsitektur,S1
106,Teknik Pertambangan,S1
107,Desain Interior,D3
108,Perencanaan Wilayah Dan Kota,S1
109,Seni Teater,S1
110,Antropologi Budaya,S1
111,Seni Tari,S1
112,Seni Rupa Murni,S1
113,Seni Karawitan,S1
114,Kriya Seni,D3
115,Desain Interior,S1
116,Fotografi,S1
117,Seni Pedalangan,S1
118,Pendidikan Seni Pertunjukan,S1
119,Tari,S1
120,Seni Murni,S1
121,Kriya,S1
122,Seni Musik,S1
123,Kriya Seni,S1
124,Pendidikan Kriya,S1
125,Televisi Dan Film,S1
126,Sistem Komputer,S1
127,Desain Produk,S1
128,Teknik Perkapalan,S1
129,Informatika,S1
130,Pendidikan Bahasa Dan Sastra Indonesia,S1
131,Pendidikan Guru Sekolah Dasar,S1
132,Mesin Otomotif,D3
133,Teknologi Industri Pertanian,S1
134,Teknik Geodesi,S1
135,Teknik Listrik,D3
136,Teknik Industri,D3
137,Teknologi Listrik,D3
138,Teknik Biomedik,S1
139,Teknik Elektro Komputer Kontrol,D3
140,Metrologi Dan Instrumentasi,D3
141,Manajemen Bisnis,S1
142,Teknik Komputer,S1
143,Teknik Transportasi Laut,S1
144,Teknik Sistem Perkapalan,S1
145,Matematika,S1
146,Teknik Geofisika,S1
147,Teknik Material,S1
148,Teknik Fisika,S1
149,Teknologi Informasi,S1
150,Sains Aktuaria,S1
151,Teknik Pangan,S1
152,Teknik Kelautan,S1
153,Rekayasa Perangkat Lunak,S1
154,Teknik Telekomunikasi,S1
155,Teknik Telekomunikasi,D3
156,Bisnis Digital,S1
157,Teknik Energi,S1
158,Pemanfaatan Sumberdaya Perikanan,S1
159,Ilmu Administrasi Negara,S1
160,Pendidikan Biologi,S1
161,Pendidikan Sejarah,S1
162,Hukum,S1
163,Ilmu Hukum,S1
164,Pemanfaatan Sumber Daya Perikanan,S1
165,Perhotelan,D3
166,Ilmu Pemerintahan,S1
167,Ilmu Administrasi Publik,S1
168,Ilmu Politik,S1
169,Ilmu Hubungan Internasional,S1
170,Administrasi Publik,S1
171,Bahasa Jepang,D3
172,Sastra Inggris,S1
173,Administrasi Bisnis,D3
174,Bahasa Inggris,D3
175,Sastra Jepang,S1
176,Ekonomi Pembangunan,S1
177,Budidaya Perairan,S1
178,Kepariwisataan,D3
179,Televisi Dan Film,D3
180,FISIOTERAPI,D3
181,KEPERAWATAN,S1
182,Bioteknologi,S1
183,Pendidikan Matematika,S1
184,Hukum Keluarga (Ahwalus Syakhsiyah),S1
185,Agrobisnis Perikanan,S1
186,Pendidikan Agama Islam (PAI),S1
187,Sastra Indonesia,S1
188,Agroekoteknologi,S1
189,Sosiologi,S1
190,Ekonomi Pembangunan (Kampus Payakumbuh),S1
191,Peternakan (Kampus II Payakumbuh),S1
192,Peternakan,S1
193,Kesekretariatan,D3
194,Proteksi Tanaman,S1
195,Manajemen Pemasaran,D3
196,Ilmu Tanah,S1
197,Keuangan,D3
