university_id,nama,npsn,nama singkat,kode_pos,telepon,fax,email,alamat,kota,provinsi,akreditasi,Status ,rank_qs,rank_country
1,Universitas Tamansiswa,101005,UNITAS,25138,(0751) 40020,,unitaspadang@yahoo.com,Jalan Tamansiswa No 9 Padang,Padang,Sumatera Barat,Baik Sekali,swasta,,
2,Institut Agama Islam Bunga Bangsa Cirebon,212056,IAI BBC,45153,(0231)246215,,staibbc.cirebon@gmail.com,Jln. Widarasari III-Tuparev Cirebon,Cirebon,Jawa Barat,Baik,swasta,,
3,Universitas Muhadi Setiabudi,61036,UMUS,52252,(0283) 6199000,,umus@umus.ac.id,"Jl. P. Diponegoro Km 2 Pesantunan, Wanasari Brebes – Jawa Tengah",Brebes,Jawa Tengah,Baik Sekali,swasta,,
4,Universitas Musamus Merauke,1051,UNMUS,99611,971330651,,info@unmus.ac.id,Jalan Kamizaun Mopah Lama Merauke,Merauke,Papua Selatan,Baik Sekali,negeri,,
5,Universitas Methodist Indonesia,11006,UMI MEDAN,20152,614536465,,info@methodist.ac.id,Jalan Hang Tuah No 8,Labuhanbatu Selatan,Sumatera Utara,Baik Sekali,swasta,,
6,Universitas Katolik Widya Karya,71026,UKWK,65115,341553171,,widyakarya@widyakarya.ac.id,Jalan Bondowoso No 2,Malang,Jawa Timur,Baik,swasta,,
7,Universitas Bondowoso,71037,UNIBO,68213,(0332) 427022,,univ.bondowoso247@gmail.com,"Jl. Diponegoro No. 247 Kelurahan Kotakulon, Kecamatan Kota Bondowoso, Kab. Bondowoso",Bondowoso,Jawa Timur,Baik,swasta,,
8,Universitas Siber Muhammadiyah,51027,SiberMu,55253,85171217175,,humas@sibermu.ac.id,Jl. HOS Cokroaminoto No. 17 Pakuncen Wirobrajan,Yogyakarta,Daerah Istimewa Yogyakarta,Baik,swasta,,
9,Universitas Sulawesi Tenggara,91015,,93121,0401  328447,,unsulra86@gmail.com,Jalan Piere Tendean No 109 A,Konawe Selatan,Sulawesi Tenggara,Baik,swasta,,
10,Institut Agama Islam Muhammadiyah Bima,212054,IAIM Bima,84116,(0374) 44646,,Iaimuhbima015@gmail.com,"Jln. Anggrek Nomor: 16 Ranggo Nae, Rasanae Barat",Bima,Nusa Tenggara Barat,Baik,swasta,,
